numero_registro,result_status,last_checked,source_url,source_type,ai_model,notes,attempt_count
BR-04202/2026,found,2026-09-24 13:54:02,https://www.metropoles.com/brasil/flavio-bolsonaro-tem-45-contra-44-de-lula-em-2o-turno-diz-real-time,web,inclusionai/ling-3.0-flash-sante:free,"{""found"": true, ""status"": ""found"", ""lula"": 44, ""flavio_bolsonaro"": 45, ""source_url"": ""https://www.metropoles.com/brasil/flavio-bolsonaro-tem-45-contra-44-de-lula-em-2o-turno-diz-real-time"", ""reason"": ""The target poll BR-04202/2026 by Real Time Big Data, published 24/09/2026, clearly reports the stimulated second-round scenario: Flávio Bolsonaro 45%, Lula 44%."", ""ai_model"": ""inclusionai/ling-3.0-flash-sante:free""}",0
BR-05573/2026,not_found,9/24/2026 12:39,,,nvidia/nemotron-3-super-120b-a12b:free,"{""found"": false, ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""Poll details do not match target poll (different institute, date, registration number, state)."", ""ai_model"": ""nvidia/nemotron-3-super-120b-a12b:free""}",0
BR-01901/2026,not_found,9/24/2026 12:39,,,,No usable web search results found.,0
BR-06267/2026,pending,9/24/2026 12:39,,,,Technical error: Expecting value: line 1 column 1 (char 0),0
BR-07707/2026,not_found,9/24/2026 12:40,,,,No usable web search results found.,0
BR-01389/2026,pending,9/24/2026 12:57,,,,Technical error: OpenRouter returned non-JSON content. Model: nvidia/nemotron-3.5-content-safety:free. Response: User Safety: safe,0
BR-03761/2026,not_found,9/24/2026 12:57,,,,No usable web search results found.,1
BR-06384/2026,not_found,9/24/2026 12:59,,,nvidia/nemotron-3-ultra-550b-a55b:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The provided sources do not contain the target poll (registration BR-06384/2026, Quaest, 24/08/2026, state RN). Source 3 shows a different Quaest poll with registration BR-06004/2026 dated 21/09/2026 (national scope), not the target poll. Sources 1 and 2 do not contain relevant polling data for the specified registration."", ""ai_model"": ""nvidia/nemotron-3-ultra-550b-a55b:free""}",1
BR-07160/2026,not_found,2026-09-24 13:51:27,,,poolside/laguna-s-2.1:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""The evidence only provides first-round results for the target poll (BR-07160/2026) but does not include the stimulated second-round scenario between Lula and Flávio Bolsonaro. Sources 1 and 4 mention the correct TSE registration number but focus on first-round data or unrelated Senate/governor races. No source explicitly reports the requested second-round percentages."", ""ai_model"": ""poolside/laguna-s-2.1:free""}",1
BR-08612/2026,not_found,9/24/2026 13:00,,,z-ai/glm-5.2:free,"{""found"": false, ""status"": ""not_found"", ""lula"": null, ""flavio_bolsonaro"": null, ""source_url"": null, ""reason"": ""Source 2 identifies the target poll (BR-08612/2026, Quaest, RS, August 2026) but the page is specifically for first-round ('1-turno') data and does not contain second-round percentages for Lula vs Flávio Bolsonaro. Source 3 refers to a different poll (BR-06004/2026, national, September 2026). No evidence provides the stimulated second-round results for the target poll."", ""ai_model"": ""z-ai/glm-5.2:free""}",1
